,Data_Name,Color_Name,Personal_Color_Category,L*(D65),a*(D65),b*(D65),C*(D65),h(D65),x(D65),y(D65),L*(F11),a*(F11),b*(F11),C*(F11),h(F11),x(F11),y(F11),L*(C),a*(C),b*(C),C*(C),h(C),x(C),y(C),Munsell_Hue(C),Munsell_Value(C),Munsell_Chroma(C),Munsell_Hue(D65),Munsell_Value(D65),Munsell_Chroma(D65)
46,GSP,green,WS,46.41,-44.35,19.6,48.49,156.16,0.2581,0.4675,44.34,-35.96,18.12,40.27,153.26,0.3268,0.4916,46.06,-43.75,19.41,47.87,156.08,0.258,0.4532,3.8G,4.46,8.83,3.8G,4.49,8.93
47,GSP1,green,WS,46.41,-44.32,19.58,48.45,156.16,0.2582,0.4673,44.35,-35.97,18.12,40.28,153.27,0.3267,0.4916,46.05,-43.72,19.39,47.83,156.08,0.2581,0.4531,3.8G,4.46,8.83,3.8G,4.49,8.92
48,GSP2,green,WS,46.38,-44.27,19.55,48.39,156.17,0.2582,0.4672,44.32,-35.93,18.09,40.23,153.27,0.3268,0.4915,46.02,-43.67,19.36,47.77,156.09,0.2581,0.453,3.8G,4.46,8.82,3.8G,4.49,8.91
49,GA,green,WA,40.6,-9.16,22.49,24.28,112.16,0.3621,0.4284,41.26,-10.47,24.82,26.93,112.87,0.417,0.4572,40.54,-9.47,22.6,24.5,112.74,0.3614,0.4184,4.6GY,3.99,3.71,4.6GY,3.99,3.72
50,GA1,green,WA,40.59,-9.2,22.48,24.29,112.25,0.362,0.4284,41.26,-10.51,24.82,26.96,112.95,0.4168,0.4573,40.52,-9.51,22.58,24.5,112.82,0.3612,0.4184,4.7GY,3.99,3.72,4.6GY,3.99,3.72
51,GA2,green,WA,40.58,-9.18,22.49,24.29,112.2,0.3621,0.4285,41.25,-10.49,24.88,27,112.87,0.417,0.4574,40.51,-9.49,22.6,24.52,112.78,0.3613,0.4185,4.7GY,3.99,3.72,4.6GY,3.99,3.72
52,GSUM,green,CS,52.25,-34.41,-3.84,34.62,186.37,0.2303,0.3528,49.29,-28.65,-6.16,29.3,192.14,0.2984,0.3964,52.08,-33.73,-3.79,33.94,186.4,0.2285,0.3388,5.7BG,4.95,6.73,5.8BG,4.98,6.75
53,GSUM1,green,CS,52.24,-34.38,-3.85,34.59,186.38,0.2304,0.3528,49.29,-28.63,-6.15,29.28,192.12,0.2985,0.3965,52.07,-33.7,-3.79,33.92,186.41,0.2285,0.3387,5.7BG,4.95,6.72,5.8BG,4.97,6.75
54,GSUM2,green,CS,52.23,-34.34,-3.85,34.56,186.39,0.2304,0.3527,49.28,-28.59,-6.16,29.25,192.16,0.2985,0.3964,52.06,-33.67,-3.79,33.88,186.42,0.2286,0.3387,5.7BG,4.95,6.72,5.8BG,4.97,6.74
55,GW,green,CW,27.81,-16.22,1.8,16.32,173.66,0.266,0.3673,26.68,-13.32,0.97,13.36,175.85,0.337,0.4066,27.7,-15.86,1.77,15.96,173.64,0.2641,0.3535,0.6BG,2.67,3.32,0.7BG,2.69,3.33
56,GW1,green,CW,27.8,-16.2,1.8,16.3,173.65,0.2661,0.3673,26.68,-13.36,0.98,13.39,175.82,0.3369,0.4067,27.69,-15.84,1.76,15.94,173.64,0.2642,0.3535,0.6BG,2.67,3.31,0.7BG,2.68,3.33
57,GW2,green,CW,27.8,-16.2,1.8,16.3,173.65,0.2661,0.3673,26.68,-13.35,0.98,13.39,175.8,0.337,0.4067,27.69,-15.84,1.77,15.94,173.63,0.2642,0.3535,0.6BG,2.67,3.31,0.7BG,2.68,3.33
