state_abbr,county_name,county_fips,vote_total_county,vote_per_AI,vote_per_AS,vote_per_AU,vote_per_CS,vote_per_D,vote_per_G,vote_per_I,vote_per_IP,vote_per_JF,vote_per_L,vote_per_LN,vote_per_NL,vote_per_NN,vote_per_PG,vote_per_PJ,vote_per_R,vote_per_UC,vote_per_UN,vote_per_UY,vote_per_WP,loc_pct_served,loc_pct_underserved,loc_pct_unserved,loc_count_served,loc_count_underserved,loc_count_unserved
CA,Santa Cruz,6087,129419,1.55000425,0,0,0,75.66972392,1.295018506,0,0,0,0.4589743392,0,0,0,0,0,21.02627899,0,0,0,0,96.33532754,0.3053893714,3.359283086,76970,244,2684
MA,Dukes,25007,11883,0,0,0,0,75.63746529,1.026676765,0,0,0,0.4375999327,0,0,0,0,0,22.89825802,0,0,0,0,97.32847976,0.1233958539,2.548124383,15775,20,413
CA,Alameda,6001,662781,1.022207939,0,0,0,75.29500695,2.095865754,0,0,0,0.3800652101,0,0,0,0,0,21.20685415,0,0,0,0,99.30506257,0.3610327972,0.3339046305,391683,1424,1317
MD,Montgomery,24031,493400,0,0,0,0,75.25800567,1.537494933,0,0,0,0.4698013782,0,0,0,0,0,21.90899878,0,0.8256992298,0,0,99.74635649,0.04018115002,0.2134623595,238312,96,510
MA,Suffolk,25025,276109,0,0,0,0,75.24709444,1.043428501,0,0,0,0.4490980012,0,0,0,0,0,23.26037905,0,0,0,0,99.90744451,0.005725081582,0.086830404,104705,6,91
WI,Dane,55025,364147,0,0,0,0,75.24296507,0.4726113355,0,0,0.09748810233,0.3320087767,0,0,0,0,0,23.46689661,0,0,0,0.3880301087,97.82450731,1.180313781,0.9951789111,154820,1868,1575
NC,Orange,37135,87360,0,0,0,0,74.91300366,0.7074175824,0,0,0.1854395604,0.3777472527,0,0,0,0,0,23.81639194,0,0,0,0,87.81730253,8.608275121,3.574422354,40857,4005,1663
NY,Tompkins,36109,43115,0,0,0,0,74.6399165,0,0,0,0,0,0,0,0,0,0,25.3600835,0,0,0,0,96.09321897,0.611749474,3.295031559,29688,189,1018
WA,King,53033,1114942,0,0,0,0,74.52647761,1.204726345,0,0,0.2721217785,0.4149094751,0,0,0,0,0,22.56242926,0,0,0,1.019335535,98.34656522,0.8000277638,0.8534070176,595099,4841,5164
WA,San Juan,53055,12615,0,0,0,0,74.03884265,1.331747919,0,0,0.2536662703,0.4280618312,0,0,0,0,0,22.41775664,0,0,0,1.529924693,79.87840919,3.014438909,17.1071519,9460,357,2026
SD,Todd,46121,2126,0,0,0,0,73.84760113,0,1.975540922,0,0,0.7996237065,0,0,0,0,0,23.37723424,0,0,0,0,94.56375839,0.9731543624,4.463087248,2818,29,133
CA,San Mateo,6081,327111,1.13875718,0,0,0,73.82815008,1.248200152,0,0,0,0.5117528912,0,0,0,0,0,23.2731397,0,0,0,0,98.84101071,0.4539989876,0.7049902978,187450,861,1337
MS,Noxubee,28103,4312,0,0,0,0,73.67810761,0.04638218924,0.2319109462,0,0,0.1159554731,0,0,0,0,0,25.92764378,0,0,0,0,85.67299006,4.227642276,10.09936766,4742,234,559
MS,Hinds,28049,73279,0,0,0,0,73.62682351,0.2374486551,0.5731519262,0,0,0.2033324691,0,0,0,0,0,25.35924344,0,0,0,0,89.87357053,2.084110714,8.042318752,81891,1899,7328
NM,Santa Fe,35049,83434,0,0,0,0,73.59469761,0.7227269458,0.8293980871,0,0,0.3343960496,0,0,0,0,0,24.51878131,0,0,0,0,95.33444382,1.135443251,3.530112933,62384,743,2310
CO,San Miguel,8113,4802,0,0,0,0,73.49021241,0.7080383174,0,0,0,0.478967097,0,0,0,0,0,24.03165348,0,1.207830071,0.08329862557,0,81.09957527,4.837187353,14.06323738,3437,205,596
GA,Rockdale,13247,45160,0,0,0,0,73.43888397,0.2989371125,0,0,0,0.3299379982,0,0,0,0,0,25.93224092,0,0,0,0,98.72551776,0.7653140912,0.5091681504,31605,245,163
VT,Washington,50023,28906,0,0,0,0,73.05057773,0,0,0,0,0.4704905556,0,0,0,0,0.7472497059,24.04691068,0,0,0,1.684771328,85.45395774,5.567901733,8.978140531,21149,1378,2222
NY,Bronx,36005,335927,0,0,0,0,72.74943663,0,0,0,0,0,0,0,0,0,0,27.25056337,0,0,0,0,99.87812881,0.00234367676,0.1195275148,85232,2,102
AL,Bullock,1011,4104,0,0,0,0,72.68518519,0.02436647173,0.5116959064,0,0,0,0,0,0,0,0,26.77875244,0,0,0,0,99.00655673,0,0.9934432744,4983,0,50
NM,Taos,35055,16570,0,0,0,0,72.66143633,1.044055522,1.025950513,0,0,0.2896801448,0,0,0,0,0,24.97887749,0,0,0,0,94.07419134,0.2638383199,5.661970345,17828,50,1073
VT,,50007,6529,0,0,0,0,72.24689845,0,0,0,0,0.5667024047,0,0,0,0,0.3369581866,25.62413846,0,0,0,1.225302497,,,,,,
CA,Sonoma,6097,242687,1.531602434,0,0,0,71.98613852,0.9254719041,0,0,0,0.4532587242,0,0,0,0,0,25.10352841,0,0,0,0,94.95130158,1.800365976,3.248332448,160857,3050,5503
GA,Fulton,13121,535238,0,0,0,0,71.88428325,0.621032139,0,0,0,0.4683897631,0,0,0,0,0,27.02629484,0,0,0,0,99.40749285,0.2255420908,0.366965063,270620,614,999
NJ,Essex,34013,312592,0,0,0,0,71.84956749,0.7536981113,0.3359011107,0,0,0.2181757691,0,0,0,0,0,26.84265752,0,0,0,0,99.84775923,0.006779953527,0.1454608211,161996,11,236
SC,Allendale,45005,3015,0,0,0,0,71.80762852,0.1326699834,0,0,0,0.1326699834,0,0,0,0,0,26.96517413,0.9618573798,0,0,0,96.73913043,0.2608695652,3,4450,12,138
VA,Williamsburg,51830,7834,0,0,0,0,71.64922134,0.5871840694,0.2170028083,0,0,0.4978299719,0,0,0,0,0,27.04876181,0,0,0,0,99.21804511,0.2105263158,0.5714285714,3299,7,19
NY,Kings,36047,770968,0,0,0,0,71.5506999,0,0,0,0,0,0,0,0,0,0,28.4493001,0,0,0,0,99.97111464,0.001500538318,0.02738482431,266494,4,73
WA,Jefferson,53031,24430,0,0,0,0,71.28121163,1.027425297,0,0,0.3438395415,0.3069995907,0,0,0,0,0,25.80433893,0,0,0,1.236185018,83.99386066,3.62330757,12.38283177,15323,661,2259
AL,Perry,1105,4452,0,0,0,0,71.20395328,0.02246181491,0.2920035939,0,0,0,0,0,0,0,0,28.48158131,0,0,0,0,82.15144231,1.802884615,16.04567308,4101,90,801
MI,Washtenaw,26161,220682,0,0,0,0,71.12677971,1.279669389,0.1685683472,0,0,0.4232334309,0,0.3579811675,0,0,0,26.64376796,0,0,0,0,97.79688063,0.8810761655,1.322043204,113994,1027,1541
CO,Pitkin,8097,11157,0,0,0,0,71.09438021,0.4750380927,0,0,0,0.4571121269,0,0,0,0,0,26.81724478,0,1.039706014,0.1165187774,0,88.41504365,3.134094471,8.450861876,7899,280,755
VT,Windham,50025,24174,0,0,0,0,70.85711922,0,0,0,0,0.426077604,0,0,0,0,0.7032348805,26.37130802,0,0,0,1.64226028,82.98867553,8.522074512,8.489249959,20226,2077,2069
MS,Humphreys,28053,3429,0,0,0,0,70.74948965,0.1749781277,0.2916302129,0,0,0.1458151064,0,0,0,0,0,28.63808691,0,0,0,0,91.97530864,0.6647673314,7.359924027,3874,28,310
MN,Ramsey,27123,275903,0,0,0,0,70.73681692,0.7709231143,0,0,0.1699872781,0.4824159215,0,0,0,0,0,27.28567649,0,0,0,0.5541802735,99.82385506,0.06220992004,0.1139350221,142812,89,163
GA,Dougherty,13095,33850,0,0,0,0,70.40177253,0.1536189069,0,0,0,0.1861152142,0,0,0,0,0,29.25849335,0,0,0,0,97.11990299,0.3213581931,2.558738821,32035,106,844
MN,Hennepin,27053,714500,0,0,0,0,70.35829251,0.7728481456,0,0,0.1727081875,0.5017494752,0,0,0,0,0,27.60545836,0,0,0,0.588943317,99.55553242,0.2044493026,0.2400182761,344270,707,830
IL,,17031,2042709,0,0,0,0,70.3239179,0,1.220878745,0,0,0,0,0,0,0,0,28.45520336,0,0,0,0,,,,,,
IL,Cook,17031,2042709,0,0,0,0,70.3239179,0,1.220878745,0,0,0,0,0,0,0,0,28.45520336,0,0,0,0,99.82060554,0.06836752647,0.1110269349,1242510,851,1382
AL,Sumter,1119,5294,0,0,0,0,70.3060068,0.05666792595,0.5100113336,0,0,0,0,0,0,0,0,29.12731394,0,0,0,0,64.28368794,2.19858156,33.5177305,4532,155,2363
VA,Norfolk,51710,85407,0,0,0,0,70.1827719,0.4929338345,0.3020829674,0,0,0.4800543281,0,0,0,0,0,28.54215697,0,0,0,0,99.73881815,0.06856023506,0.1926216128,61100,42,118
MA,Hampshire,25015,81604,0,0,0,0,69.98553992,1.323464536,0,0,0,0.4950737709,0,0,0,0,0,28.19592177,0,0,0,0,98.74630537,0.1031520898,1.15054254,49779,52,580
MS,Coahoma,28027,6770,0,0,0,0,69.58641064,0.07385524372,0.576070901,0,0,0.1033973412,0,0,0,0,0,29.66026588,0,0,0,0,94.54632741,1.267402784,4.186269803,9847,132,436
VA,Hampton,51650,62487,0,0,0,0,69.38563221,0.3776785571,0.4576952006,0,0,0.3600748956,0,0,0,0,0,29.41891914,0,0,0,0,99.20972109,0.4842934819,0.3059854272,45068,220,139
MA,Berkshire,25003,66715,0,0,0,0,69.36371131,0.8214044818,0,0,0,0.4811511654,0,0,0,0,0,29.33373304,0,0,0,0,97.3404163,0.3090116834,2.350572019,56071,178,1354
MD,Charles,24017,91650,0,0,0,0,69.23513366,0.9034369885,0,0,0,0.3644298963,0,0,0,0,0,28.52700491,0,0.9699945445,0,0,98.21194314,0.3540172875,1.434039571,54652,197,798
MD,Howard,24027,180488,0,0,0,0,69.12592527,1.851092593,0,0,0,0.690350605,0,0,0,0,0,27.38409202,0,0.9485395151,0,0,99.43137073,0.1412887386,0.427340529,85857,122,369
MA,Middlesex,25017,783818,0,0,0,0,68.91102271,0.9692301019,0,0,0,0.5650546428,0,0,0,0,0,29.55469254,0,0,0,0,99.81962075,0.02029266533,0.160086582,398439,81,639
MS,Tunica,28143,2591,0,0,0,0,68.89231957,0.03859513701,0.7719027403,0,0,0.115785411,0,0,0,0,0,30.18139714,0,0,0,0,94.62365591,0.7168458781,4.659498208,3432,26,169
ND,Sioux,38085,950,0,0,0,0,68.84210526,0,0,0,0,1.157894737,0,0,0,0,0,30,0,0,0,0,97.73351648,0,2.266483516,1423,0,33
VA,Portsmouth,51740,41144,0,0,0,0,68.79739452,0.3621427183,0.4253354073,0,0,0.349990278,0,0,0,0,0,30.06513708,0,0,0,0,99.0406509,0.4614590607,0.4978900392,32623,152,164
TX,Travis,48453,579369,0,0,0,0,68.73909374,1.014034234,0,0,0,0.7988000739,0,0,0,0,0,29.44807195,0,0,0,0,97.61639545,0.4796078164,1.903996732,358423,1761,6991
GA,Clarke,13059,52887,0,0,0,0,68.63123263,0.461361015,0,0,0,0.5615746781,0,0,0,0,0,30.34583168,0,0,0,0,98.75690217,0.5436783237,0.6994195101,34876,192,247
IA,Johnson,19103,85819,0,0,0,0,68.56989711,0,0,0,0,0.4684277374,0,0,0,0,0,30.39769748,0,0,0,0.5639776739,97.6299745,1.077485866,1.29253963,44036,486,583
WI,Milwaukee,55079,461702,0,0,0,0,68.50565949,0.7121476623,0,0,0.2272028278,0.2482120502,0,0,0,0,0,29.89417416,0,0,0,0.4126038007,99.92084349,0.06055472881,0.01860177944,252464,153,47
AL,Lowndes,1085,5647,0,0,0,0,68.44342129,0.1062511068,0.3718788737,0,0,0,0,0,0,0,0,31.07844873,0,0,0,0,86.4033422,0.7595898215,12.83706798,4550,40,676
CA,Santa Clara,6085,744282,1.235956264,0,0,0,68.39087873,1.627877606,0,0,0,0.5481793191,0,0,0,0,0,28.19710809,0,0,0,0,98.54631298,0.4938808474,0.9598061751,444164,2226,4326
MS,Leflore,28083,7703,0,0,0,0,68.37595742,0.155783461,0.467350383,0,0,0.2206932364,0,0,0,0,0,30.7802155,0,0,0,0,95.32594308,0.3226340172,4.351422899,11523,39,526
KS,Douglas,20045,56405,0,0,0,0,68.26345182,0,1.044233667,0,0,0.5637798068,0,0,0,0,0,30.1285347,0,0,0,0,96.53058493,1.223397136,2.246017936,36059,457,839
MS,Sharkey,28125,1753,0,0,0,0,68.16885339,0.2281802624,0.2281802624,0,0,0.0570450656,0,0,0,0,0,31.31774102,0,0,0,0,71.34251291,1.204819277,27.45266781,1658,28,638
OR,Benton,41003,49280,0,0,0,0,68.13920455,1.213474026,0,0,0,0.4626623377,0,0,0,0.3145292208,0,28.49228896,0,0,0,1.377840909,95.24763998,2.912841071,1.839518945,29462,901,569
MA,Nantucket,25019,6987,0,0,0,0,68.0835838,0.5438671819,0,0,0,0.4723057106,0,0,0,0,0,30.90024331,0,0,0,0,98.77906977,0.009689922481,1.21124031,10194,1,125
MA,Franklin,25011,41156,0,0,0,0,68.0022354,1.433569832,0,0,0,0.6414617553,0,0,0,0,0,29.92273302,0,0,0,0,97.52468551,0.2739077506,2.201406736,28840,81,651
GA,Richmond,13245,83578,0,0,0,0,67.78937041,0.2081887578,0,0,0,0.3290339563,0,0,0,0,0,31.67340688,0,0,0,0,99.28600627,0.2030249353,0.5109687968,72866,149,375
CA,Contra Costa,6013,508499,1.245823492,0,0,0,67.77771441,1.258802869,0,0,0,0.452901579,0,0,0,0,0,29.26475765,0,0,0,0,99.15571786,0.1763505838,0.6679315534,333423,593,2246
GA,Hancock,13141,4240,0,0,0,0,67.54716981,0.1179245283,0,0,0,0.1650943396,0,0,0,0,0,32.16981132,0,0,0,0,97.63090129,0.2403433476,2.128755365,5687,14,124
MS,Sunflower,28133,7674,0,0,0,0,67.37034141,0.05212405525,0.2606202763,0,0,0.1303101381,0,0,0,0,0,32.18660412,0,0,0,0,92.65050821,0.6059421423,6.743549648,9480,62,690
CO,Summit,8117,17511,0,0,0,0,67.16920793,0.4568556907,0,0,0,0.9422648621,0,0,0,0,0,29.94689053,0,1.336302895,0.1484780995,0,95.89641913,0.7149723624,3.388608508,15961,119,564
VT,Addison,50001,20407,0,0,0,0,67.05542216,0,0,0,0,0.5341304454,0,0,0,0,0.3626206694,30.42583427,0,0,0,1.621992454,76.61794141,6.544550252,16.83750834,12632,1079,2776
WY,Teton,56039,13077,0,0,0,0,66.89607708,0,0,0,0,1.491167699,0,0,0,0,0,31.61275522,0,0,0,0,88.73115332,2.114744468,9.154102213,9063,216,935
SC,Richland,45079,181647,0,0,0,0,66.67327289,0.3892164473,0,0,0,0.5273965438,0,0,0,0,0,31.940522,0.469592121,0,0,0,99.32065502,0.3089202469,0.3704247304,142107,442,530
VT,Windsor,50027,33872,0,0,0,0,66.63025508,0,0,0,0,0.4900803023,0,0,0,0,0.398559282,30.87505905,0,0,0,1.606046292,98.76799464,0.515567459,0.7164378976,29502,154,214
VT,Lamoille,50015,14705,0,0,0,0,66.56239374,0,0,0,0,0.5168310099,0,0,0,0,0.3876232574,30.63583815,0,0,0,1.897313839,71.56531532,14.18918919,14.2454955,8897,1764,1771
MN,Cook,27031,3633,0,0,0,0,66.5015139,0.7156619873,0,0,0.1376273053,0.3303055326,0,0,0,0,0,31.43407652,0,0,0,0.8808147536,98.93908908,0.05487470276,1.006036217,5409,3,55
OR,Hood River,41027,12443,0,0,0,0,66.39877843,0.8197380053,0,0,0,0.4500522382,0,0,0,0.1205497067,0,30.4669292,0,0,0,1.743952423,89.08004533,5.36726074,5.552693932,8647,521,539
AK,,2904,9151,0,0.3059774888,0.5354606054,0.1529887444,66.37525953,1.169271118,1.529887444,0,0,0.8086547918,0,0,0,0,0,29.12250027,0,0,0,0,,,,,,
VA,Albemarle,51003,66028,0,0,0,0,66.36578421,0.5361361846,0.1484218816,0,0,0.5603683286,0,0,0,0,0,32.38928939,0,0,0,0,84.55673064,5.765765766,9.677503591,32381,2208,3706
VA,Fairfax,51059,583189,0,0,0,0,66.26290962,1.828223783,0.2222264137,0,0,0.4969229529,0,0,0,0,0,31.18971723,0,0,0,0,99.75574011,0.07288400019,0.1713758923,253208,185,435
