COMPNOS,NatureCode,Location
120420164,DVIP  ,"(42.30285135, -71.06400956)"
120420183,FIGHT ,"(42.26845224, -71.11940924)"
120420192,ABIP  ,"(42.2925326, -71.11971445)"
120420324,LARCRT,"(42.37347634, -71.03988957)"
120420205,MVPED2,"(42.32474135, -71.10424455)"
120420207,UNCONS,"(42.29356136, -71.12281955)"
120422568,ARREST,"(42.35647634, -71.05929456)"
120420543,MISPER,"(42.33552834, -71.09278967)"
120421177,VANRPT,"(42.28385447, -71.12338411)"
120420545,MISPER,"(42.33552834, -71.09278967)"
120421534,LARCRT,"(42.35285635, -71.13084954)"
120421692,LARCRT,"(42.35346134, -71.06419956)"
120422735,MISPER,"(42.31552135, -71.08062955)"
120420291,ILLPRK,"(42.35773634, -71.05462456)"
120420275,EDP2  ,"(42.37875134, -71.05608456)"
120420279,VIORDR,"(42.290772, -71.06967506)"
120420282,BERPT ,"(42.26850953, -71.12883588)"
120420287,VANRPT,"(42.28714636, -71.07634955)"
120420311,UNK   ,"(42.27507636, -71.09515955)"
120420273,CARST ,"(42.31076635, -71.05905456)"
120421273,VANRPT,"(42.33512635, -71.03993457)"
120420339,ARREST,"(42.3286598, -71.08561842)"
120420348,UNCONS,"(42.32828549, -71.05530669)"
120420364,DROWN ,"(0.0, 0.0)"
120420378,HOMINV,"(42.31335135, -71.08361455)"
120420411,CD9   ,"(42.34622134, -71.07688955)"
120420433,LARCRT,"(42.39329401, -71.0086428)"
120420920,BEMVRT,"(42.34803635, -71.09419955)"
120423937,LARCRT,"(42.35801134, -71.06055956)"
120421238,VANRPT,"(42.28903136, -71.07658455)"
120421153,VANRPT,"(42.37846134, -71.05307957)"
120421824,HITRUN,"(42.31991504, -71.06370653)"
120421333,STOLMV,"(42.32422656, -71.07757817)"
120420481,UNK   ,"(42.32792506, -71.07770104)"
120420480,HITRUN,"(42.30607288, -71.08626837)"
120420531,IVPER ,"(42.3286598, -71.08561842)"
120420460,PKNIFE,"(42.35120135, -71.17311952)"
120420604,HARPT ,"(42.27792715, -71.16123525)"
120420746,LSTPRP,"(42.36267692, -71.13915468)"
120420557,SHOTS ,"(42.28820136, -71.07680956)"
120421102,BEMVRT,"(42.37468775, -71.03891217)"
120420862,STOLMV,"(42.27590186, -71.09503423)"
120420603,IVPER ,"(42.32275156, -71.10004452)"
120421445,VANRPT,"(42.26474137, -71.15819954)"
120421690,MEET  ,"(42.38572059, -71.00413007)"
120421539,VANRPT,"(42.28758136, -71.07167456)"
120421923,MISC  ,"(42.32995779, -71.0536659)"
120426307,IVPER ,"(42.31629339, -71.06864178)"
120421875,VANRPT,"(42.33367135, -71.09315455)"
120420631,ABDWRP,"(42.28702136, -71.07707955)"
120420581,DVIP  ,"(42.37928715, -71.0579425)"
120420634,DISTRB,"(42.29433636, -71.07544956)"
120421188,IVPREM,"(42.28974136, -71.07689956)"
120420664,VANIP ,"(42.36354634, -71.05453956)"
120420647,ABIP  ,"(42.36829134, -71.03476958)"
120420688,SHOT  ,"(42.30815635, -71.06966456)"
120420689,THREAT,"(42.31864846, -71.0816326)"
120421006,BEMVRT,"(42.35055135, -71.06148957)"
120421570,VANRPT,"(42.30627136, -71.11505955)"
120423962,LSTPRP,"(42.34716136, -71.09599455)"
120420719,IVMV  ,"(42.34301135, -71.06259956)"
120423791,IVMV  ,"(42.35776135, -71.13938953)"
120424841,LARCRT,"(42.25678059, -71.12916296)"
120422045,LARCRT,"(42.35914634, -71.05461456)"
120421523,THREAT,"(42.33676635, -71.07665456)"
120422436,VANRPT,"(0.0, 0.0)"
120431631,LARCRT,"(42.33215635, -71.05121456)"
120421183,VANRPT,"(42.35184134, -71.05719456)"
120420818,MVANO ,"(42.30066136, -71.07204957)"
120420802,MVANO ,"(42.32854635, -71.06836455)"
120420825,ASTEMS,"(42.31246635, -71.05733456)"
120420843,SHOTS ,"(42.27042435, -71.10009512)"
120422315,LARCRT,"(42.30468635, -71.05908456)"
120420871,HITRUN,"(42.35738574, -71.15083854)"
120420873,TSTOP ,"(42.28774136, -71.10679955)"
120420900,ARREST,"(42.33215635, -71.07041456)"
120420886,BEIP  ,"(42.27559322, -71.10032375)"
120420896,LARCRT,"(42.28019636, -71.08690956)"
120421012,FDPROP,"(42.34969134, -71.06520956)"
120420903,FIGHT ,"(42.34969134, -71.06520956)"
120420958,ABRPT ,"(42.34969134, -71.06520956)"
120420974,ABIP  ,"(42.28424136, -71.08112956)"
110523814,CD9   ,"(42.28583136, -71.06401456)"
120420985,SHOTS ,"(42.30129136, -71.08443455)"
120422941,VANRPT,"(42.35274635, -71.08240456)"
120421002,NIDV  ,"(42.33614135, -71.08162456)"
120421009,MVA   ,"(42.24766637, -71.13369454)"
120421010,MVANO ,"(42.34805135, -71.08813956)"
120421016,TRANSP,"(42.33394861, -71.07537988)"
120421035,IVPER ,"(42.3286598, -71.08561842)"
120421032,UNK   ,"(42.38166634, -71.04034456)"
120421233,IVPREM,"(42.30972244, -71.10427304)"
120422017,CD11  ,"(42.27160636, -71.11911455)"
120422224,IVPREM,"(42.36115668, -71.06254825)"
120422373,MISC  ,"(42.36056156, -71.06067351)"
120422376,MISC  ,"(42.36056156, -71.06067351)"
120422378,MISC  ,"(42.36056156, -71.06067351)"
120454011,CD11  ,"(42.28293127, -71.13256817)"
120421827,IVDRUG,"(42.33372337, -71.09095643)"
120422220,IVPREM,"(42.32921635, -71.09478955)"
120422375,MISC  ,"(42.36056156, -71.06067351)"
120422377,MISC  ,"(42.36056156, -71.06067351)"
120422380,MISC  ,"(42.36056156, -71.06067351)"
120413133,IVDRUG,"(42.39111661, -71.00230564)"
120421038,CD11  ,"(42.31502914, -71.09180713)"
120421396,CD11  ,"(42.308074, -71.10254619)"
120421826,IVDRUG,"(42.33372337, -71.09095643)"
120421828,IVDRUG,"(42.33372337, -71.09095643)"
120422379,MISC  ,"(42.36056156, -71.06067351)"
120422381,MISC  ,"(42.36056156, -71.06067351)"
120438239,CD11  ,"(0.0, 0.0)"
120527455,INVEST,"(42.33372337, -71.09095643)"
120432143,CD11  ,"(42.29558136, -71.09156955)"
120421072,IVDRUG,"(42.30843635, -71.08717455)"
120421349,IVPER ,"(42.30843635, -71.08717455)"
120421040,CD11  ,"(42.27160636, -71.11911455)"
120421039,CD11  ,"(42.25932629, -71.14804963)"
120429555,CD11  ,"(42.308074, -71.10254619)"
120421303,IVDRUG,"(42.30843635, -71.08717455)"
120422085,IVPER ,"(42.29558136, -71.09156955)"
120421037,CD11  ,"(42.31531069, -71.10146781)"
120421856,IVDRUG,"(42.25642136, -71.12394954)"
120421798,BERPT ,"(42.34111635, -71.07693456)"
120421925,BERPT ,"(42.34111635, -71.07693456)"
120421101,LARCIP,"(42.31135135, -71.05460457)"
120422670,IVPER ,"(42.25059584, -71.12309745)"
120422182,FDPROP,"(42.30837136, -71.10051955)"
120421194,HARPT ,"(42.35120135, -71.17311952)"
120421082,ILLPRK,"(42.35089635, -71.13198454)"
120654646,THREAT,"(42.35193135, -71.07732456)"
140330880,LARCRT,"(42.31946135, -71.05675456)"
120428740,VANRPT,"(42.34870428, -71.06270542)"
120523238,FDPROP,"(42.33372337, -71.09095643)"
120421083,BERPT ,"(42.34484635, -71.13939453)"
120421209,LARCIP,"(42.25711899, -71.11717937)"
120422086,IVPER ,"(42.33604989, -71.1078052)"
120422914,LARCRT,"(42.34422635, -71.10163955)"
120421212,MVPED1,"(42.31545635, -71.08327456)"
120422838,ARREST,"(42.37866634, -71.03088957)"
120421228,TSTOP ,"(42.39132134, -71.01292957)"
120421235,MVAINJ,"(42.28001136, -71.05894957)"
120421106,ILLPRK,"(42.32796312, -71.10522366)"
120421257,DISTRB,"(42.29618713, -71.05486358)"
120421259,MVAINJ,"(42.26701069, -71.12097728)"
120439830,LARCRT,"(42.29510635, -71.07822456)"
120444533,LSTPRP,"(42.24798637, -71.11830954)"
120456625,BERPT ,"(42.35806287, -71.12934489)"
120670823,LARCRT,"(0.0, 0.0)"
130153487,IVPER ,"(42.33192135, -71.08412955)"
120438786,LARCRT,"(42.29399634, -71.16958927)"
120421200,FDPROP,"(42.24554777, -71.12599881)"
120423844,FDPROP,"(42.31254136, -71.05537957)"
120437244,LSTPRP,"(42.35237134, -71.06490456)"
120421318,MVAINJ,"(42.32753635, -71.08322955)"
120421382,IVMV  ,"(42.33825135, -71.02904957)"
120421327,IVPER ,"(42.35230134, -71.06367456)"
120424412,LSTPRP,"(0.0, 0.0)"
120421097,ILLPRK,"(42.3325566, -71.11109868)"
120421352,MVA   ,"(42.38237634, -71.07892955)"
120642870,LARCRT,"(0.0, 0.0)"
120421395,ARREST,"(42.33181635, -71.06865456)"
120421426,THREAT,"(42.27231602, -71.06985927)"
120421415,ABIP  ,"(42.35256135, -71.07977956)"
120422500,ABRPT ,"(42.35256135, -71.07977956)"
120440178,IVMV  ,"(42.34075719, -71.03555916)"
120428623,IVPER ,"(42.30167443, -71.11110671)"
120421437,ARREST,"(42.33794635, -71.07750455)"
120421541,ARREST,"(42.34016135, -71.08921455)"
