-270.135,91.57896,22.961294,,"[('región', 0.22967858612537384), ('ibt', 0.18624873459339142), ('popular', -0.09176266938447952), ('spread', -0.10189121216535568), ('east', -0.10432122647762299), ('stories', -0.1112147718667984), ('2', -0.11694543063640594), ('port', -0.118748240172863), ('basic', -0.12174942344427109), ('tennessee', -0.12377993017435074)]"
182.87666,44.05594,-12.081517,map,"[('state', 0.997216522693634), ('storymap', 0.9971222281455994), ('new', 0.9969738125801086), ('data', 0.9966477155685425), ('information', 0.9964394569396973), ('story', 0.9963142275810242), ('across', 0.9962221384048462), ('park', 0.9962069988250732), ('explore', 0.9962044358253479), ('air', 0.9961913228034973)]"
166.72356,-13.245931,-53.41576,2020,"[('work', 0.9964616298675537), ('water', 0.9964593052864075), ('information', 0.996405303478241), ('analysis', 0.9963405132293701), ('storymap', 0.99619060754776), ('around', 0.9961819648742676), ('within', 0.9960663914680481), ('land', 0.9958863854408264), ('health', 0.9958211779594421), ('management', 0.9957958459854126)]"
160.04002,-78.78397,-123.2632,county,"[('data', 0.9969876408576965), ('central', 0.9964712262153625), ('region', 0.9963576793670654), ('new', 0.9961446523666382), ('2021', 0.9960600137710571), ('management', 0.9960164427757263), ('california', 0.9959549903869629), ('information', 0.9957804083824158), ('across', 0.995779275894165), ('week', 0.9957780241966248)]"
132.41718,-89.97804,-32.73643,story,"[('areas', 0.9967460632324219), ('information', 0.9965272545814514), ('explore', 0.9965194463729858), ('2021', 0.9963791370391846), ('map', 0.9963142275810242), ('water', 0.9963083863258362), ('storymap', 0.996269166469574), ('service', 0.9961545467376709), ('week', 0.9960995316505432), ('climate', 0.9960082173347473)]"
56.176224,-50.68029,-154.87717,covid19,"[('climate', 0.996232271194458), ('monitoring', 0.996133029460907), ('maps', 0.9960212707519531), ('national', 0.9957400560379028), ('city', 0.9957393407821655), ('new', 0.9956822395324707), ('historic', 0.9954916834831238), ('data', 0.9954452514648438), ('around', 0.9954155683517456), ('management', 0.9952530264854431)]"
85.77722,105.556725,-155.18172,gis,"[('resources', 0.9950059652328491), ('national', 0.9947866201400757), ('record', 0.9947654008865356), ('2021', 0.994743824005127), ('planning', 0.9946955442428589), ('work', 0.9945893883705139), ('monitoring', 0.9945485591888428), ('look', 0.9944331645965576), ('world', 0.9942752718925476), ('information', 0.9941900968551636)]"
254.6727,48.987396,-43.7632,2021,"[('water', 0.9971926808357239), ('monitoring', 0.9970985054969788), ('information', 0.9970060586929321), ('data', 0.9969373941421509), ('management', 0.9969373941421509), ('world', 0.9966638088226318), ('maps', 0.9966281652450562), ('explore', 0.9965881109237671), ('national', 0.9965122938156128), ('climate', 0.996485710144043)]"
268.36563,12.321758,-30.817492,water,"[('2021', 0.9971926212310791), ('management', 0.996947169303894), ('analysis', 0.9968504309654236), ('local', 0.9967505931854248), ('information', 0.996698260307312), ('explore', 0.9966368675231934), ('central', 0.9965518712997437), ('weather', 0.9965393543243408), ('monitoring', 0.9965363144874573), ('look', 0.996520459651947)]"
210.46426,-30.38602,-60.16817,city,"[('new', 0.9965680241584778), ('park', 0.9962805509567261), ('historic', 0.9962665438652039), ('monitoring', 0.9962223172187805), ('land', 0.9961426854133606), ('climate', 0.996070384979248), ('creek', 0.9960209727287292), ('high', 0.9959384202957153), ('california', 0.9958226680755615), ('central', 0.995808482170105)]"
126.113144,-40.152348,-183.55075,project,"[('week', 0.9963798522949219), ('water', 0.9959285259246826), ('information', 0.9957561492919922), ('region', 0.9957519173622131), ('part', 0.9952991604804993), ('2020', 0.9951346516609192), ('within', 0.995132327079773), ('maps', 0.9951114654541016), ('national', 0.9950437545776367), ('around', 0.9950235486030579)]"
184.39809,-39.301914,-25.675001,history,"[('park', 0.9975467920303345), ('people', 0.9963328242301941), ('storymap', 0.9962869882583618), ('data', 0.9960480332374573), ('central', 0.9959879517555237), ('water', 0.9959624409675598), ('creek', 0.9959596395492554), ('air', 0.9958795309066772), ('climate', 0.9958330988883972), ('explore', 0.9956197738647461)]"
231.23839,25.246132,-17.713434,data,"[('information', 0.9973132014274597), ('park', 0.9970771670341492), ('county', 0.9969876408576965), ('2021', 0.9969373345375061), ('people', 0.9968226552009583), ('central', 0.9967325329780579), ('management', 0.9967079162597656), ('map', 0.9966477155685425), ('new', 0.9965810179710388), ('air', 0.996462881565094)]"
185.02927,13.34704,-30.810621,climate,"[('historic', 0.9977912902832031), ('2021', 0.996485710144043), ('park', 0.9963792562484741), ('maps', 0.9963112473487854), ('explore', 0.9962897300720215), ('new', 0.9962813258171082), ('covid19', 0.996232271194458), ('communities', 0.9960834980010986), ('city', 0.996070384979248), ('monitoring', 0.9960615038871765)]"
211.05087,-11.517483,-24.674028,park,"[('people', 0.9977777004241943), ('history', 0.9975468516349792), ('central', 0.9975440502166748), ('information', 0.9973491430282593), ('data', 0.9970770478248596), ('part', 0.9966787099838257), ('world', 0.9966460466384888), ('mapping', 0.9966284036636353), ('communities', 0.9966230392456055), ('program', 0.9965569972991943)]"
250.00755,-25.868433,-42.815052,analysis,"[('management', 0.996862530708313), ('water', 0.9968504309654236), ('explore', 0.9967553615570068), ('information', 0.9964247345924377), ('storymap', 0.9964144825935364), ('area', 0.996388852596283), ('state', 0.9963552355766296), ('within', 0.9963406920433044), ('2020', 0.9963405132293701), ('future', 0.9962725043296814)]"
